cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,price
12862,Aloha Fruit punch,7,"Water, Ginger, Guava juice, Lemon juice, Pineapple, Sugar, Pineapple juice",False,2,False,False,Punch / Party Drink,Collins Glass,12.36
178359,Kiwi Martini,4,"Kiwi, Sugar Syrup, Vodka, Kiwi",True,2,False,False,Cocktail,Cocktail glass,11.69
11010,After Dinner Cocktail,4,"Apricot brandy, Triple sec, Lime, Lime",True,1,True,False,Ordinary Drink,Cocktail glass,11.53
17065,Caribbean Boilermaker,2,"Corona, Light rum",True,0,False,False,Beer,Beer pilsner,10.26
15761,Quick-sand,2,"Black Sambuca, Orange juice",True,1,False,False,Ordinary Drink,Highball glass,11.08
11055,Artillery,3,"Sweet Vermouth, Gin, Bitters",True,1,False,False,Ordinary Drink,Cocktail glass,10.76
17194,White Lady,3,"Gin, Triple Sec, Lemon Juice",True,0,False,False,Ordinary Drink,Cocktail glass,11.26
17219,Yellow Bird,4,"White Rum, Galliano, Triple Sec, Lime Juice",True,0,False,False,Cocktail,Cocktail glass,14.94
15515,Tennesee Mud,4,"Coffee, Jack Daniels, Amaretto, Whipped cream",True,1,False,True,Coffee / Tea,Coffee Mug,15.89
178327,Pineapple Paloma,6,"Tequila, Grapefruit Juice, Fresh Lime Juice, Pineapple Juice, Lime, Pepper",True,1,True,False,Cocktail,Collins glass,14.14
11117,Blue Lagoon,4,"Vodka, Blue Curacao, Lemonade, Cherry",True,2,False,False,Ordinary Drink,Highball glass,12.5
12772,Iced Coffee Fillip,2,"Kahlua, Coffee",True,1,False,True,Coffee / Tea,Coffee mug,14.49
12706,Imperial Cocktail,3,"Lime juice, Gin, Aperol",True,0,False,False,Cocktail,Cocktail glass,10.84
13535,Pink Panty Pulldowns,3,"Sprite, Pink lemonade, Vodka",True,1,False,False,Ordinary Drink,Collins Glass,12.62
17060,24k nightmare,4,"Goldschlager, Jägermeister, Rumple Minze, 151 proof rum",True,1,False,False,Shot,Shot glass,12.95
11798,Monkey Wrench,3,"Light rum, Grapefruit juice, Bitters",True,0,False,False,Ordinary Drink,Old-fashioned glass,10.79
12800,Coffee-Vodka,6,"Water, Sugar, Coffee, Vanilla, Vodka, Caramel coloring",True,2,False,True,Homemade Liqueur,Collins Glass,14.8
178354,Pink Moon,5,"Gin, Coconut Liqueur, Elderflower cordial, Lime Juice, Blackberries",True,1,False,False,Cocktail,Whiskey Glass,12.88
13026,Sangria The  Best,7,"Red wine, Sugar, Lemon, Orange, Apple, Brandy, Soda water",True,3,True,False,Punch / Party Drink,Pitcher,15.11
12186,Shanghai Cocktail,4,"Light rum, Anisette, Grenadine, Lemon",True,1,True,False,Ordinary Drink,Cocktail glass,12.48
16041,Mudslinger,3,"Southern Comfort, Orange juice, Pepsi Cola",True,1,False,False,Punch / Party Drink,Punch bowl,12.01
178362,Vodka Slime,3,"Sprite, Lime Juice, Vodka",True,1,False,False,Cocktail,Highball glass,11.36
13377,Sea breeze,3,"Vodka, Cranberry juice, Grapefruit juice",True,2,False,False,Ordinary Drink,Highball glass,11.7
15026,Kiss me Quick,5,"Cranberry vodka, Apfelkorn, Schweppes Russchian, Apple juice, Ice",True,0,False,False,Ordinary Drink,Highball glass,12.82
15092,Pysch Vitamin Light,4,"Orange juice, Apple juice, Pineapple juice, Ice",False,2,False,False,Ordinary Drink,Collins Glass,9.04
12452,Victory Collins,5,"Vodka, Lemon juice, Grape juice, Powdered sugar, Orange",True,2,True,False,Ordinary Drink,Collins glass,13.22
17204,Long Island Iced Tea,6,"Vodka, Tequila, Light rum, Gin, Coca-Cola, Lemon peel",True,2,False,False,Ordinary Drink,Highball glass,13.59
178366,Gin Lemon,4,"Gin, Lemon Juice, Lemon Peel, Ice",True,0,False,False,Cocktail,Highball glass,12.12
17120,Brain Fart,6,"Everclear, Vodka, Mountain Dew, Surge, Lemon juice, Rum",True,2,False,False,Punch / Party Drink,Punch bowl,13.27
13190,Kool-Aid Shot,5,"Vodka, Amaretto, Sloe gin, Triple sec, Cranberry juice",True,4,False,False,Shot,Old-fashioned glass,14.85
17175,Girl From Ipanema,4,"Cachaca, Lemon Juice, Agave Syrup, Champagne",True,2,False,False,Ordinary Drink,Wine Glass,11.58
178320,Banana Cream Pi,3,"Malibu Rum, Banana Liqueur, Pineapple Juice",True,1,False,False,Cocktail,Wine Glass,10.93
17241,Zombie,7,"Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters",True,1,False,False,Cocktail,Hurricane glass,15.4
12690,Lassi - A South Indian Drink,5,"Yoghurt, Water, Cumin seed, Salt, Mint",False,0,False,False,Other / Unknown,Highball Glass,10.56
11242,Chicago Fizz,6,"Light rum, Port, Lemon, Powdered sugar, Egg white, Carbonated water",True,1,True,False,Ordinary Drink,Highball glass,13.69
178331,Bounty Hunter,5,"Rum, Coconut Liqueur, Blueberries, Pineapple Juice, Prosecco",True,1,False,False,Cocktail,Margarita glass,12.47
12870,Artillery Punch,8,"Tea, Rye whiskey, Red wine, Rum, Brandy, Benedictine, Orange juice, Lemon juice",True,2,False,False,Punch / Party Drink,Punch bowl,17.84
16943,A Gilligan's Island,4,"Vodka, Peach schnapps, Orange juice, Cranberry juice",True,4,False,False,Cocktail,Collins glass,12.25
13389,Snake Bite (UK),2,"Lager, Cider",True,0,False,False,Beer,Pint glass,11.89
11338,English Highball,5,"Brandy, Gin, Sweet Vermouth, Carbonated water, Lemon peel",True,2,False,False,Ordinary Drink,Highball glass,12.85
15813,Herbal flame,2,"Hot Damn, Tea",True,0,False,False,Coffee / Tea,Mason jar,10.33
16196,Moranguito,3,"Absinthe, Tequila, Grenadine",True,1,False,False,Shot,Shot glass,14.85
16995,Orange Whip,5,"Orange juice, Rum, Vodka, Cream, Ice",True,2,False,False,Other / Unknown,Collins Glass,12.48
16987,Irish Curdling Cow,4,"Baileys irish cream, Bourbon, Vodka, Orange juice",True,3,False,False,Cocktail,Highball glass,12.09
17256,Martinez 2,4,"Gin, Sweet Vermouth, Maraschino Liqueur, Angostura Bitters",True,1,False,False,Cocktail,Cocktail glass,11.72
15288,252,2,"151 proof rum, Wild Turkey",True,0,False,False,Shot,Shot glass,10.62
17196,Cosmopolitan,4,"Vodka, Lime juice, Cointreau, Cranberry juice",True,2,False,False,Cocktail,Cocktail glass,16.56
11118,Blue Margarita,4,"Tequila, Blue Curacao, Lime juice, Salt",True,0,False,False,Ordinary Drink,Cocktail glass,12.28
12224,Sloe Gin Cocktail,3,"Sloe gin, Dry Vermouth, Orange bitters",True,2,False,False,Ordinary Drink,Cocktail glass,11.21
13020,Sangria,6,"Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon",True,2,False,False,Punch / Party Drink,Pitcher,14.92
14888,Zinger,2,"Peachtree schnapps, Surge",True,1,False,False,Soft Drink,Highball glass,11.25
17079,Baby Guinness,2,"Kahlua, Baileys irish cream",True,2,False,False,Shot,Shot glass,15.02
13938,AT&T,3,"Absolut Vodka, Gin, Tonic water",True,1,False,False,Ordinary Drink,Highball Glass,12.01
12736,Drinking Chocolate,6,"Heavy cream, Milk, Cinnamon, Vanilla, Chocolate, Whipped cream",False,0,False,False,Cocoa,Coffee mug,11.26
12854,Scottish Highland Liqueur,5,"Johnnie Walker, Honey, Angelica root, Fennel seeds, Lemon peel",True,1,False,False,Homemade Liqueur,Collins Glass,13.74
16289,Apple Grande,2,"Tequila, Apple cider",True,0,False,False,Punch / Party Drink,Punch Bowl,10.06
17249,Pegu Club,5,"Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters",True,0,False,False,Cocktail,Cocktail glass,13.11
14594,Zizi Coin-coin,4,"Cointreau, Lemon juice, Ice, Lemon",True,0,True,False,Punch / Party Drink,Margarita/Coupette glass,16.02
15346,155 Belmont,4,"Dark rum, Light rum, Vodka, Orange juice",True,2,False,False,Cocktail,White wine glass,12.78
11658,Loch Lomond,4,"Scotch, Drambuie, Dry Vermouth, Lemon peel",True,1,False,False,Ordinary Drink,Cocktail glass,15.27
11387,Frozen Daiquiri,6,"Light rum, Triple sec, Lime juice, Sugar, Cherry, Ice",True,1,False,False,Ordinary Drink,Champagne flute,14.73
12702,Lemouroudji,5,"Ginger, Water, Lemon, Sugar, Cayenne pepper",False,1,True,False,Other / Unknown,Highball Glass,9.6
11053,Arise My Love,2,"Champagne, Green Creme de Menthe",True,1,False,False,Ordinary Drink,Champagne flute,11.43
178368,Planter’s Punch,6,"Dark Rum, Orange Juice, Pineapple Juice, Grenadine, Sugar Syrup, Angostura Bitters",True,3,False,False,Cocktail,Highball glass,13.64
11008,Manhattan,6,"Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel",True,2,False,False,Cocktail,Cocktail glass,13.9
17027,Zima Blaster,2,"Zima, Chambord raspberry liqueur",True,2,False,False,Ordinary Drink,Hurricane glass,10.38
15841,Mojito Extra,5,"Mint, Lemon juice, Dark rum, Club soda, Angostura bitters",True,1,False,False,Cocktail,Collins glass,12.36
17223,Abbey Martini,4,"Gin, Sweet Vermouth, Orange Juice, Angostura Bitters",True,2,False,False,Cocktail,Cocktail glass,12.85
13200,Owen's Grandmother's Revenge,4,"Whiskey, Beer, Lemonade, Ice",True,1,False,False,Ordinary Drink,Highball glass,11.52
17118,Arctic Mouthwash,3,"Maui, Mountain Dew, Ice",True,0,False,False,Punch / Party Drink,Cocktail glass,11.9
16986,Bible Belt,4,"Southern Comfort, Triple sec, Lime, Sour mix",True,1,True,False,Other / Unknown,Highball glass,11.68
12724,Sweet Bananas,3,"Milk, Banana, Honey",False,1,False,False,Shake,Highball Glass,9.05
11375,Foxy Lady,3,"Amaretto, Creme de Cacao, Light cream",True,1,False,False,Ordinary Drink,Cocktail glass,14.94
11149,Boxcar,5,"Gin, Triple sec, Lemon juice, Grenadine, Egg white",True,1,False,False,Ordinary Drink,Whiskey sour glass,14.11
11007,Margarita,4,"Tequila, Triple sec, Lime juice, Salt",True,0,False,False,Ordinary Drink,Cocktail glass,12.95
13058,Wine Punch,5,"Red wine, Lemon, Orange juice, Orange, Pineapple juice",True,2,True,False,Punch / Party Drink,Collins Glass,13.66
12402,Tom Collins,6,"Gin, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange",True,1,True,False,Ordinary Drink,Collins glass,13.63
11016,Brandy Alexander,4,"Brandy, Creme de Cacao, Light cream, Nutmeg",True,1,False,False,Ordinary Drink,Whiskey Glass,11.63
17201,Hemingway Special,4,"Rum, Grapefruit Juice, Maraschino Liqueur, Lime Juice",True,1,False,False,Ordinary Drink,Cocktail glass,12.12
17831,A Furlong Too Late,3,"Light rum, Ginger beer, Lemon peel",True,0,False,False,Ordinary Drink,Highball glass,12.29
178313,Halloween Punch,6,"Cherry Juice, Orange Peel, Red Chili Flakes, Cloves, Ginger, Vodka",True,1,False,False,Punch / Party Drink,Punch bowl,14.92
14688,Freddy Kruger,3,"Jägermeister, Sambuca, Vodka",True,2,False,False,Shot,Shot glass,12.11
16295,Bleeding Surgeon,4,"Dark rum, Orange, Surge, Cranberry juice",True,2,True,False,Soft Drink,Collins glass,12.58
12097,Rum Toddy,4,"Rum, Powdered sugar, Lemon peel, Water",True,1,False,False,Ordinary Drink,Old-fashioned glass,13.47
13194,Damned if you do,2,"Whiskey, Hot Damn",True,0,False,False,Shot,Shot glass,11.76
17217,Vampiro,6,"Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt",True,2,False,False,Ordinary Drink,Old-Fashioned glass,13.75
11028,Amaretto Stinger,2,"Amaretto, White Creme de Menthe",True,2,False,False,Ordinary Drink,Cocktail glass,13.49
17015,Irish Russian,4,"Vodka, Kahlua, Coca-Cola, Guinness stout",True,3,False,False,Beer,Highball glass,15.36
17242,Bombay Cassis,6,"Gin, Creme de Cassis, Fresh Lime Juice, Ginger beer, Lime, Ginger",True,1,True,False,Cocktail,Balloon Glass,13.79
17216,Tommy's Margarita,3,"Tequila, Lime Juice, Agave syrup",True,0,False,False,Ordinary Drink,Old-Fashioned glass,10.93
15409,Danbooka,2,"Coffee, Everclear",True,0,False,True,Coffee / Tea,Coffee Mug,11.66
178349,Snowday,6,"Vodka, Amaro Montenegro, Ruby Port, Blood Orange, Angostura Bitters, Orange Peel",True,1,False,False,Cocktail,Collins glass,14.78
178344,Figgy Thyme,6,"Vodka, Honey, Figs, Thyme, Angostura Bitters, Tonic Water",True,2,False,False,Cocktail,Highball glass,13.44
12808,Creme de Menthe,5,"Sugar, Water, Grain alcohol, Peppermint extract, Food coloring",True,1,False,False,Homemade Liqueur,Collins Glass,12.57
17222,A1,4,"Gin, Grand Marnier, Lemon Juice, Grenadine",True,2,False,False,Cocktail,Cocktail glass,15.29
12718,Pineapple Gingerale Smoothie,2,"Ginger, Pineapple",False,0,False,False,Other / Unknown,Highball Glass,8.73
12672,Fruit Flip-Flop,2,"Yoghurt, Fruit juice",False,0,False,False,Other / Unknown,Highball Glass,8.16
178328,Funk and Soul,5,"Rum, Apricot Nectar, Pomegranate juice, lemon, Soda Water",True,1,False,False,Cocktail,Collins glass,12.52
15082,Royal Flush,4,"Crown Royal, Peach schnapps, Chambord raspberry liqueur, Cranberry juice",True,3,False,False,Shot,Old-fashioned glass,12.76
12708,Banana Cantaloupe Smoothie,2,"Cantaloupe, Banana",False,0,False,False,Other / Unknown,Highball Glass,9.0
12322,Strawberry Margarita,6,"Strawberry schnapps, Tequila, Triple sec, Lemon juice, Strawberries, Salt",True,0,False,False,Ordinary Drink,Cocktail glass,13.0
13731,Amaretto Sour,2,"Amaretto, Sour mix",True,2,False,False,Ordinary Drink,Collins Glass,14.45
17209,Barracuda,5,"Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco",True,1,False,False,Ordinary Drink,Margarita glass,15.53
17182,Duchamp's Punch,7,"Pisco, Lime Juice, Pineapple Syrup, St. Germain, Angostura Bitters, Pepper, Lavender",True,0,False,False,Cocktail,Old-fashioned glass,14.02
14374,Absolut Evergreen,4,"Absolut Citron, Pisang Ambon, Ice, Bitter lemon",True,0,False,False,Other / Unknown,Collins Glass,12.28
12774,Masala Chai,9,"Water, Tea, Ginger, Cardamom, Cloves, Cinnamon, Black pepper, Sugar, Milk",False,1,False,False,Coffee / Tea,Coffee Mug,13.41
12782,Thai Coffee,6,"Coffee, Coriander, Cardamom, Sugar, Whipping cream, Ice",False,1,False,True,Coffee / Tea,Highball glass,11.35
11121,Bobby Burns Cocktail,4,"Sweet Vermouth, Scotch, Benedictine, Lemon peel",True,1,False,False,Ordinary Drink,Cocktail glass,16.37
178341,Orange Rosemary Collins,7,"Gin, Orange Juice, Lemon Juice, Rosemary Syrup, Soda Water, Rosemary, Orange Peel",True,2,False,False,Cocktail,Highball glass,14.75
11084,Bermuda Highball,5,"Brandy, Gin, Dry Vermouth, Carbonated water, Lemon peel",True,2,False,False,Ordinary Drink,Highball glass,12.66
11129,Boston Sour,6,"Blended whiskey, Lemon, Powdered sugar, Egg white, Lemon, Cherry",True,1,True,False,Ordinary Drink,Whiskey sour glass,14.9
14366,Lemon Drop,3,"Vodka, Cointreau, Lemon",True,1,True,False,Cocktail,Cocktail glass,14.58
17186,Clover Club,4,"Gin, Grenadine, Lemon, Egg white",True,1,True,False,Ordinary Drink,Cocktail glass,13.31
16082,Almond Chocolate Coffee,3,"Amaretto, Dark Creme de Cacao, Coffee",True,1,False,True,Ordinary Drink,Coffee mug,13.29
15951,Black Forest Shake,5,"Ice, Chocolate syrup, Cherry brandy, Vodka, Milk",True,1,False,False,Shake,Collins Glass,14.25
13068,Brave Bull Shooter,2,"Tequila, Tabasco sauce",True,0,False,False,Shot,Shot glass,11.64
16998,Bruised Heart,4,"Vodka, Chambord raspberry liqueur, Peachtree schnapps, Cranberry juice",True,3,False,False,Shot,Shot glass,12.82
178350,The Galah,5,"Dark Rum, Campari, Creme De Banane, Pineapple Juice, Lime Juice",True,0,False,False,Cocktail,Collins glass,16.17
11003,Negroni,3,"Gin, Campari, Sweet Vermouth",True,1,False,False,Ordinary Drink,Old-fashioned glass,13.28
11991,Queen Elizabeth,3,"Dry Vermouth, Gin, Benedictine",True,1,False,False,Ordinary Drink,Cocktail glass,14.44
13675,Flander's Flake-Out,2,"Sambuca, Sarsaparilla",True,0,False,False,Ordinary Drink,Collins Glass,10.41
11690,Mai Tai,5,"Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry",True,0,False,False,Ordinary Drink,Collins glass,13.5
15178,Texas Rattlesnake,4,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour",True,0,False,False,Shot,Highball glass,11.7
12162,Screwdriver,2,"Vodka, Orange juice",True,2,False,False,Ordinary Drink,Highball glass,11.35
17825,Brigadier,3,"Hot Chocolate, Green Chartreuse, Cherry Heering",True,0,False,False,Cocktail,Coupe Glass,13.49
14229,747,3,"Kahlua, Baileys irish cream, Frangelico",True,2,False,False,Shot,Shot glass,17.44
14053,Mother's Milk,3,"Goldschlager, Butterscotch schnapps, Milk",True,1,False,False,Shot,Shot glass,12.15
178363,Vodka Lemon,4,"Vodka, Lemon Juice, Lemon Peel, Ice",True,1,False,False,Cocktail,Highball glass,13.35
13128,Diesel,3,"Lager, Cider, Blackcurrant cordial",True,0,False,False,Beer,Pint glass,11.71
14107,Absolut Summertime,5,"Absolut Citron, Sweet and sour, Sprite, Soda water, Lemon",True,1,True,False,Cocktail,Collins glass,13.65
178367,Ramos Gin Fizz,7,"Gin, Lemon Juice, Sugar Syrup, Cream, Egg White, Vanilla extract, Soda Water",True,2,False,False,Cocktail,Highball glass,14.55
17246,Empellón Cocina's Fat-Washed Mezcal,3,"Mezcal, Chocolate liqueur, Coffee liqueur",True,1,False,False,Cocktail,Beer Glass,11.52
14956,Jello shots,3,"Vodka, Jello, Water",True,1,False,False,Shot,Shot glass,12.52
16951,Kioki Coffee,3,"Kahlua, Brandy, Coffee",True,2,False,True,Coffee / Tea,Coffee mug,15.89
14209,Mocha-Berry,4,"Coffee, Chambord raspberry liqueur, Cocoa powder, Whipped cream",True,2,False,True,Coffee / Tea,Irish coffee cup,13.02
17827,Old Pal,3,"Rye whiskey, Campari, Dry Vermouth",True,1,False,False,Cocktail,Nick and Nora Glass,14.19
12562,Alice Cocktail,4,"Grenadine, Orange juice, Pineapple juice, Cream",False,3,False,False,Cocktail,Cocktail glass,8.76
15825,Jamaican Coffee,4,"Rum, Coffee, Water, Whipped cream",True,0,False,True,Coffee / Tea,Champagne flute,12.74
17220,Butter Baby,4,"Vanilla Ice-Cream, Butterscotch schnapps, Milk, Vodka",True,3,False,False,Shake,Beer mug,12.69
12460,Vodka And Tonic,2,"Vodka, Tonic water",True,2,False,False,Ordinary Drink,Highball glass,10.25
